star_id,name,ra_deg,dec_deg,ecliptic_longitude_deg,ecliptic_latitude_deg,epoch,magnitude,orb_default_deg,orb_mag_le_1_deg,provenance
mesarthim,Mesarthim,28.382550,19.293852,33.184579,7.162391,J2000,3.88,0.333,0.1667,HIP 8832; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
sheratan,Sheratan,28.660020,20.808035,33.969991,8.487259,J2000,2.64,0.333,0.1667,HIP 8903; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
dalim,Dalim,48.018735,-28.987618,34.612129,-44.690807,J2000,3.80,0.333,0.1667,HIP 14879; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
fulu,Fulu,9.242820,53.896909,35.065207,44.719793,J2000,3.69,0.333,0.1667,HIP 2920; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
caph,Caph,2.293305,59.149780,35.115878,51.215369,J2000,2.28,0.333,0.1667,HIP 746; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
alfirk,Alfirk,322.164930,70.560716,35.546281,71.152790,J2000,3.23,0.333,0.1667,HIP 106032; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
mothallah,Mothallah,28.270440,29.578829,36.860892,16.800499,J2000,3.42,0.333,0.1667,HIP 8796; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
hamal,Hamal,31.793325,23.462423,37.662455,9.965126,J2000,2.01,0.333,0.1667,HIP 9884; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
schedar,Schedar,10.126740,56.537331,37.783619,46.622197,J2000,2.24,0.333,0.1667,HIP 3179; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
titawin,Titawin,24.199485,41.405459,38.550310,28.980272,J2000,4.10,0.333,0.1667,HIP 7513; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
azha,Azha,44.106870,-8.898144,38.749959,-24.546723,J2000,3.89,0.333,0.1667,HIP 13701; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
kaffaljidhma,Kaffaljidhma,40.825170,3.235818,39.432920,-11.996126,J2000,3.47,0.333,0.1667,HIP 12706; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
achird,Achird,12.273900,57.815187,40.245281,47.008488,J2000,3.46,0.333,0.1667,HIP 3821; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
nembus,Nembus,24.498075,48.628213,42.439864,35.414967,J2000,3.59,0.333,0.1667,HIP 7607; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
cih,Cih,14.177145,60.716740,43.931101,48.814917,J2000,2.15,0.333,0.1667,HIP 4427; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
almach,Almach,30.974760,42.329725,44.225376,27.806241,J2000,2.10,0.333,0.1667,HIP 9640; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
menkar,Menkar,45.569880,4.089734,44.320134,-12.585578,J2000,2.54,0.333,0.1667,HIP 14135; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
ruchbah,Ruchbah,21.453240,60.235283,47.929541,46.403668,J2000,2.66,0.333,0.1667,HIP 6686; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
ran,Ran,53.232720,-9.458262,48.167800,-27.715776,J2000,3.72,0.333,0.1667,HIP 16537; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
bharani,Bharani,42.495945,27.260507,48.203511,10.449700,J2000,3.61,0.333,0.1667,HIP 13209; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
botein,Botein,47.907330,19.726677,50.853005,1.823955,J2000,4.35,0.333,0.1667,HIP 14838; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
rana,Rana,55.812090,-9.763395,50.862062,-28.676374,J2000,3.52,0.333,0.1667,HIP 17378; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
zaurak,Zaurak,59.507355,-13.508515,53.867501,-33.202133,J2000,2.97,0.333,0.1667,HIP 18543; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
beemim,Beemim,66.009195,-34.016846,54.487117,-54.537631,J2000,3.97,0.333,0.1667,HIP 20535; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
segin,Segin,28.598760,63.670101,54.763616,47.548240,J2000,3.35,0.333,0.1667,HIP 8886; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
algol,Algol,47.042220,40.955648,56.167586,22.428529,J2000,2.09,0.333,0.1667,HIP 14576; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
misam,Misam,47.373870,44.857544,57.691152,26.083018,J2000,3.79,0.333,0.1667,HIP 14668; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
miram,Miram,42.674175,55.895496,58.701798,37.481875,J2000,3.77,0.333,0.1667,HIP 13268; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
electra,Electra,56.218905,24.113339,59.411914,4.189842,J2000,3.72,0.333,0.1667,HIP 17499; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
beid,Beid,62.966415,-6.837581,59.432715,-27.453407,J2000,4.04,0.333,0.1667,HIP 19587; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
taygeta,Taygeta,56.302050,24.467278,59.564679,4.518192,J2000,4.30,0.333,0.1667,HIP 17531; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
maia,Maia,56.456685,24.367748,59.680366,4.390015,J2000,3.87,0.333,0.1667,HIP 17573; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
merope,Merope,56.581560,23.948358,59.699287,3.955834,J2000,4.14,0.333,0.1667,HIP 17608; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
theemin,Theemin,68.887680,-30.562341,59.885269,-51.817218,J2000,3.81,0.333,0.1667,HIP 21393; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
alcyone,Alcyone,56.871150,24.105137,59.992393,4.050951,J2000,2.85,0.333,0.1667,HIP 17702; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
errai,Errai,354.837300,77.632276,60.092980,64.669725,J2000,3.21,0.333,0.1667,HIP 116727; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
keid,Keid,63.818055,-7.652871,60.183272,-28.422314,J2000,4.43,0.333,0.1667,HIP 19849; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
atlas,Atlas,57.290595,24.053415,60.355909,3.917474,J2000,3.62,0.333,0.1667,HIP 17847; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
atik,Atik,56.079720,32.288248,61.143218,12.184376,J2000,3.84,0.333,0.1667,HIP 17448; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
mirfak,Mirfak,51.080670,49.861180,62.080908,30.125478,J2000,1.79,0.333,0.1667,HIP 15863; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
menkib,Menkib,59.741250,35.791033,64.972446,14.943842,J2000,3.98,0.333,0.1667,HIP 18614; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
sceptrum,Sceptrum,69.545100,-14.304020,65.254360,-36.002581,J2000,3.86,0.333,0.1667,HIP 21594; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
prima_hyadum,Prima Hyadum,64.948335,15.627642,65.805753,-5.732259,J2000,3.65,0.333,0.1667,HIP 20205; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
secunda_hyadum,Secunda Hyadum,65.733705,17.542514,66.870706,-3.969507,J2000,3.77,0.333,0.1667,HIP 20455; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
chamukuy,Chamukuy,67.165575,15.870883,67.961918,-5.838479,J2000,3.40,0.333,0.1667,HIP 20894; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
ain,Ain,67.154145,19.180431,68.465021,-2.567158,J2000,3.53,0.333,0.1667,HIP 20889; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
aldebaran,Aldebaran,68.980155,16.509301,69.789181,-5.467327,J2000,0.87,0.333,0.1667,HIP 21421; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
tabit,Tabit,72.460035,6.961276,71.924702,-15.384178,J2000,3.19,0.333,0.1667,HIP 22449; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
cursa,Cursa,76.962435,-5.086446,75.275894,-27.861775,J2000,2.78,0.333,0.1667,HIP 23875; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
hassaleh,Hassaleh,74.248410,33.166090,76.639453,10.454484,J2000,2.69,0.333,0.1667,HIP 23015; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
rigel,Rigel,78.634470,-8.201640,76.829591,-31.122769,J2000,0.18,0.333,0.1200,HIP 24436; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
saclateni,Saclateni,75.619515,41.075837,78.633386,18.202303,J2000,3.69,0.333,0.1667,HIP 23453; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
almaaz,Almaaz,75.492225,43.823308,78.841416,20.944383,J2000,3.03,0.333,0.1667,HIP 23416; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
haedus,Haedus,76.628700,41.234474,79.446172,18.283817,J2000,3.18,0.333,0.1667,HIP 23767; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
nihal,Nihal,82.061340,-20.759441,79.672396,-43.914538,J2000,2.81,0.333,0.1667,HIP 25606; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
bellatrix,Bellatrix,81.282765,6.349702,80.946466,-16.816044,J2000,1.64,0.333,0.1667,HIP 25336; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
arneb,Arneb,83.182560,-17.822289,81.380570,-41.057813,J2000,2.58,0.333,0.1667,HIP 25985; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
capella,Capella,79.172250,45.997991,81.857861,22.864270,J2000,0.08,0.333,0.1200,HIP 24608; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
phact,Phact,84.912255,-34.074108,82.169237,-57.375180,J2000,2.65,0.333,0.1667,HIP 26634; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
mintaka,Mintaka,83.001675,-0.299092,82.362135,-23.553024,J2000,2.25,0.333,0.1667,HIP 25930; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
elnath,Elnath,81.572970,28.607450,82.574936,5.385106,J2000,1.65,0.333,0.1667,HIP 25428; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
hatysa,Hatysa,83.858265,-5.909901,82.997535,-29.200023,J2000,2.75,0.333,0.1667,HIP 26241; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
alnilam,Alnilam,84.053385,-1.201920,83.463642,-24.506385,J2000,1.69,0.333,0.1667,HIP 26311; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
meissa,Meissa,83.784495,9.934158,83.706835,-13.369456,J2000,3.39,0.333,0.1667,HIP 26207; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
alnitak,Alnitak,85.189695,-1.942572,84.681322,-25.293096,J2000,1.74,0.333,0.1667,HIP 26727; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
tianguan,Tianguan,84.411195,21.142549,84.784640,-2.195619,J2000,2.97,0.333,0.1667,HIP 26451; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
saiph,Saiph,86.939115,-9.669605,86.398621,-33.070639,J2000,2.07,0.333,0.1667,HIP 27366; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
wazn,Wazn,87.739935,-35.768309,86.419427,-59.179513,J2000,3.12,0.333,0.1667,HIP 27628; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
polaris,Polaris,37.946250,89.264109,88.567428,66.101545,J2000,1.97,0.333,0.1667,HIP 11767; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
betelgeuse,Betelgeuse,88.792935,7.407063,88.754595,-16.027010,J2000,0.45,0.333,0.1200,HIP 27989; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
menkalinan,Menkalinan,89.882235,44.947433,89.910413,21.508179,J2000,1.90,0.333,0.1667,HIP 28360; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
mahasim,Mahasim,89.930265,37.212585,89.942819,13.773308,J2000,2.65,0.333,0.1667,HIP 28380; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
yildun,Yildun,263.053770,86.586460,91.203235,69.945183,J2000,4.35,0.333,0.1667,HIP 85822; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
propus,Propus,93.719415,22.506799,93.436182,-0.888138,J2000,3.31,0.333,0.1667,HIP 29655; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
tejat,Tejat,95.740095,22.513586,95.301875,-0.820124,J2000,2.87,0.333,0.1667,HIP 30343; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
mirzam,Mirzam,95.674935,-17.955918,97.187941,-41.253715,J2000,1.98,0.333,0.1667,HIP 30324; Solar Fire Bright Stars (FK6 reduction); HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); RA/Dec to ecliptic using ε=23.4392911°
