# >>> AUTO-GEN BEGIN: AE IAU Star Names (WGSN) v2024-03
# Derived from HYG Database v4.1 commit c7f7f883fe678cc7680169a50ccd7dcc49b060ce (CC-BY-SA 4.0); official WGSN list as of 2023-03.
# Columns: name,hip,hr,ra_deg,dec_deg,notes
name,hip,hr,ra_deg,dec_deg,notes
Aldhibah,83895,6396,257.196720,65.714683,Bayer/Flamsteed 22Zet Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Aldulfin,101421,7852,308.303205,11.303263,Bayer/Flamsteed 2Eps Del; Constellation Del; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alfirk,106032,8238,322.164930,70.560716,Bayer/Flamsteed 8Bet Cep; Constellation Cep; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Algedi,100064,7754,304.513560,-12.544852,Bayer/Flamsteed 6Alp2Cap; Constellation Cap; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Algenib,1067,39,3.308970,15.183596,Bayer/Flamsteed 88Gam Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Algieba,50583,4057,154.993095,19.841489,Bayer/Flamsteed 41Gam1Leo; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Algol,14576,936,47.042220,40.955648,Bayer/Flamsteed 26Bet Per; Constellation Per; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Algorab,60965,4757,187.466085,-16.515432,Bayer/Flamsteed 7Del Crv; Constellation Crv; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alhena,31681,2421,99.427920,16.399252,Bayer/Flamsteed 24Gam Gem; Constellation Gem; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alioth,62956,4905,193.507080,55.959821,Bayer/Flamsteed 77Eps UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Aljanah,102488,7949,311.552670,33.970256,Bayer/Flamsteed 53Eps Cyg; Constellation Cyg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alkaid,67301,5191,206.885310,49.313265,Bayer/Flamsteed 85Eta UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alkalurops,75411,5733,231.122715,37.377167,Bayer/Flamsteed 51Mu 1Boo; Constellation Boo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alkaphrah,44471,3594,135.906405,47.156525,Bayer/Flamsteed 12Kap UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alkarab,115623,8905,351.344895,23.404101,Bayer/Flamsteed 68Ups Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alkes,53740,4287,164.943660,-18.298783,Bayer/Flamsteed 7Alp Crt; Constellation Crt; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Almaaz,23416,1605,75.492225,43.823308,Bayer/Flamsteed 7Eps Aur; Constellation Aur; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Almach,9640,603,30.974760,42.329725,Bayer/Flamsteed 57Gam1And; Constellation And; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alnair,109268,8425,332.058135,-46.960975,Bayer/Flamsteed Alp Gru; Constellation Gru; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alnasl,88635,6746,271.452045,-30.424091,Bayer/Flamsteed 10Gam2Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alnilam,26311,1903,84.053385,-1.201920,Bayer/Flamsteed 46Eps Ori; Constellation Ori; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alnitak,26727,1948,85.189695,-1.942572,Bayer/Flamsteed 50Zet Ori; Constellation Ori; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alniyat,80112,6084,245.297145,-25.592796,Bayer/Flamsteed 20Sig Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alphard,46390,3748,141.896850,-8.658603,Bayer/Flamsteed 30Alp Hya; Constellation Hya; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alphecca,76267,5793,233.671920,26.714693,Bayer/Flamsteed 5Alp CrB; Constellation CrB; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alpheratz,677,15,2.096865,29.090432,Bayer/Flamsteed 21Alp And; Constellation And; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alpherg,7097,437,22.870875,15.345823,Bayer/Flamsteed 99Eta Psc; Constellation Psc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alrakis,,6370,256.330710,54.469093,Bayer/Flamsteed 21Mu  Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alrescha,9487,595,30.511755,2.763759,Bayer/Flamsteed 113Alp Psc; Constellation Psc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alruba,86782,6618,265.996545,53.801715,HD 161693; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alsafi,96100,7462,293.087235,69.661175,Bayer/Flamsteed 61Sig Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alsciaukat,41075,3275,125.708820,43.188131,Bayer/Flamsteed 31    Lyn; Constellation Lyn; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alsephina,42913,3485,131.175885,-54.708821,Bayer/Flamsteed Del Vel; Constellation Vel; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alshain,98036,7602,298.828305,6.406763,Bayer/Flamsteed 60Bet Aql; Constellation Aql; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alshat,100310,7773,305.165895,-12.759080,Bayer/Flamsteed 8Nu  Cap; Constellation Cap; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Altair,97649,7557,297.695820,8.868322,Bayer/Flamsteed 53Alp Aql; Constellation Aql; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Altais,94376,7310,288.138375,67.661541,Bayer/Flamsteed 57Del Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alterf,46750,3773,142.930125,22.967971,Bayer/Flamsteed 4Lam Leo; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Aludra,35904,2827,111.023760,-29.303104,Bayer/Flamsteed 31Eta CMa; Constellation CMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alula Australis,,4375,169.546770,31.528783,Bayer/Flamsteed 53Xi  UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alula Borealis,55219,4377,169.619745,33.094306,Bayer/Flamsteed 54Nu  UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alya,92946,7141,284.054925,4.203595,Bayer/Flamsteed 63The1Ser; Constellation Ser; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Alzirr,32362,2484,101.322360,12.895591,Bayer/Flamsteed 31Xi  Gem; Constellation Gem; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Amadioha,29550,,93.398535,-29.897269,HD 43197; Constellation CMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ancha,110003,8499,334.208475,-7.783290,Bayer/Flamsteed 43The Aqr; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Angetenar,13288,850,42.759675,-21.004019,Bayer/Flamsteed 2Tau2Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Aniara,57820,,177.843825,57.640736,HD 102956; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ankaa,2081,99,6.570840,-42.305981,Bayer/Flamsteed Alp Phe; Constellation Phe; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Anser,95771,7405,292.176405,24.664905,Bayer/Flamsteed 6Alp Vul; Constellation Vul; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Antares,80763,6134,247.351920,-26.432002,Bayer/Flamsteed 21Alp Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Arcalís,72845,,223.345950,18.235401,HD 131496; Constellation Boo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Arcturus,69673,5340,213.915450,19.182410,Bayer/Flamsteed 16Alp Boo; Constellation Boo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Arkab Posterior,95294,7343,290.804640,-44.799778,Bayer/Flamsteed Bet2Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Arkab Prior,95241,7337,290.659545,-44.458965,Bayer/Flamsteed Bet1Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Arneb,25985,1865,83.182560,-17.822289,Bayer/Flamsteed 11Alp Lep; Constellation Lep; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ascella,93506,7194,285.652980,-29.880105,Bayer/Flamsteed 38Zet Sgr; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Asellus Australis,42911,3461,131.171250,18.154309,Bayer/Flamsteed 47Del Cnc; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Asellus Borealis,42806,3449,130.821465,21.468501,Bayer/Flamsteed 43Gam Cnc; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ashlesha,43109,3482,131.693805,6.418809,Bayer/Flamsteed 11Eps Hya; Constellation Hya; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Aspidiske,45556,3699,139.272570,-59.275229,Bayer/Flamsteed Iot Car; Constellation Car; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Asterope,17579,1151,56.476980,24.554511,Bayer/Flamsteed 21    Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Athebyne,80331,6132,245.997900,61.514213,Bayer/Flamsteed 14Eta Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Atik,17448,1131,56.079720,32.288248,Bayer/Flamsteed 38Omi Per; Constellation Per; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Atlas,17847,1178,57.290595,24.053415,Bayer/Flamsteed 27    Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Atria,82273,6217,252.166155,-69.027715,Bayer/Flamsteed Alp TrA; Constellation TrA; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Avior,41037,3307,125.628540,-59.509483,Bayer/Flamsteed Eps Car; Constellation Car; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Axólotl,118319,,359.974275,-22.428113,HD 224693; Constellation Cet; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ayeyarwady,13993,,45.044415,-20.802604,HD 18742; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Azelfafage,107136,8301,325.523595,51.189622,Bayer/Flamsteed 80Pi 1Cyg; Constellation Cyg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Azha,13701,874,44.106870,-8.898144,Bayer/Flamsteed 3Eta Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Azmidi,38170,3045,117.323565,-24.859786,Bayer/Flamsteed 7Xi  Pup; Constellation Pup; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Añañuca,47780,,146.124795,-45.776513,Gliese 367; Constellation Vel; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Babcock's star,112247,,341.031270,55.589226,HD 215441; Constellation Lac; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Baekdu,73136,,224.201385,74.900927,HD 133086; Constellation UMi; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Barnard's Star,87937,,269.452080,4.693388,Gliese 699; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Baten Kaitos,8645,539,27.865140,-10.335038,Bayer/Flamsteed 55Zet Cet; Constellation Cet; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Beemim,20535,1393,66.009195,-34.016846,Bayer/Flamsteed 43    Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Beid,19587,1298,62.966415,-6.837581,Bayer/Flamsteed 38Omi1Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Belel,95124,,290.267640,-23.619572,HD 181342; Constellation Sgr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Bellatrix,25336,1790,81.282765,6.349702,Bayer/Flamsteed 24Gam Ori; Constellation Ori; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Betelgeuse,27989,2061,88.792935,7.407063,Bayer/Flamsteed 58Alp Ori; Constellation Ori; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Bharani,13209,838,42.495945,27.260507,Bayer/Flamsteed 41    Ari; Constellation Ari; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Bibhā,48711,,149.024655,-3.808422,HD 86081; Constellation Sex; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Biham,109427,8450,332.549940,6.197865,Bayer/Flamsteed 26The Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Bosona,107251,,325.853745,-7.408253,HD 206610; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Botein,14838,951,47.907330,19.726677,Bayer/Flamsteed 57Del Ari; Constellation Ari; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Brachium,73714,5603,226.017585,-25.281965,Bayer/Flamsteed 20Sig Lib; Constellation Lib; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Bubup,26380,,84.257535,-73.699343,HD 38283; Constellation Men; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Buna,12191,,39.258000,42.062633,HD 16175; Constellation And; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Bunda,106786,8264,324.437955,-7.854201,Bayer/Flamsteed 23Xi  Aqr; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Bélénos,6643,,21.302070,28.566693,HD 8574; Constellation Psc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Campbell's Hydrogen Star,96295,,293.688465,30.516371,HD 184738; Constellation Cyg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Canopus,30438,2326,95.987925,-52.695660,Bayer/Flamsteed Alp Car; Constellation Car; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Capella,24608,1708,79.172250,45.997991,Bayer/Flamsteed 13Alp Aur; Constellation Aur; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Caph,746,21,2.293305,59.149780,Bayer/Flamsteed 11Bet Cas; Constellation Cas; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Castor,36850,2891,113.649510,31.888276,Bayer/Flamsteed 66Alp Gem; Constellation Gem; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Castula,4422,265,14.166480,59.181056,Bayer/Flamsteed 28Ups2Cas; Constellation Cas; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Cebalrai,86742,6603,265.868145,4.567303,Bayer/Flamsteed 60Bet Oph; Constellation Oph; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ceibo,37284,,114.841245,-78.278972,HD 63454; Constellation Cha; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Celaeno,17489,1140,56.200890,24.289470,Bayer/Flamsteed 16    Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Cervantes,86796,6585,266.036280,-51.834053,Bayer/Flamsteed Mu  Ara; Constellation Ara; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Chalawan,53721,4277,164.866800,40.430257,Bayer/Flamsteed 47    UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Chamukuy,20894,1412,67.165575,15.870883,Bayer/Flamsteed 78The2Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Chara,61317,4785,188.436165,41.357480,Bayer/Flamsteed 8Bet CVn; Constellation CVn; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Chechia,99894,,304.025025,4.580795,HD 192699; Constellation Aql; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Chertan,54879,4359,168.560025,15.429570,Bayer/Flamsteed 70The Leo; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Cih,4427,264,14.177145,60.716740,Bayer/Flamsteed 27Gam Cas; Constellation Cas; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Citadelle,1547,,4.821105,14.054755,HD 1502; Constellation Psc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Citalá,33719,2622,105.075150,-5.367162,HD 52265; Constellation Mon; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Cocibolca,3479,,11.110950,-26.515680,HD 4208; Gliese-Jahreiß 9024; Constellation Scl; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Copernicus,43587,3522,133.149375,28.330819,Bayer/Flamsteed 55Rho1Cnc; Constellation Cnc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Cor Caroli,63125,4915,194.007105,38.318380,Bayer/Flamsteed 12Alp2CVn; Constellation CVn; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Cujam,80463,6117,246.353970,14.033270,Bayer/Flamsteed 24Ome Her; Constellation Her; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Cursa,23875,1666,76.962435,-5.086446,Bayer/Flamsteed 67Bet Eri; Constellation Eri; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Cygnus X-1,98298,,299.590320,35.201604,HD 226868; Constellation Cyg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Dabih,100345,7776,305.252805,-14.781367,Bayer/Flamsteed 9Bet Cap; Constellation Cap; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Dalim,14879,963,48.018735,-28.987618,Bayer/Flamsteed Alp For; Constellation For; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Danfeng,115211,,350.032140,-60.065183,Gliese-Jahreiß 4332; Constellation Tuc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Deneb,102098,7924,310.357980,45.280338,Bayer/Flamsteed 50Alp Cyg; Constellation Cyg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Deneb Algedi,107556,8322,326.760165,-16.127286,Bayer/Flamsteed 49Del Cap; Constellation Cap; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Denebola,57632,4534,177.264945,14.572060,Bayer/Flamsteed 94Bet Leo; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Diadem,64241,4968,197.497035,17.529431,Bayer/Flamsteed 42Alp Com; Constellation Com; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Dingolay,54158,,166.185225,-2.513218,HD 96063; Constellation Leo; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Diphda,3419,188,10.897350,-17.986605,Bayer/Flamsteed 16Bet Cet; Constellation Cet; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Dofida,66047,,203.106450,-47.271363,HD 117618; Constellation Cen; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Dschubba,78401,5953,240.083355,-22.621710,Bayer/Flamsteed 7Del Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Dubhe,54061,4301,165.932325,61.751033,Bayer/Flamsteed 50Alp UMa; Constellation UMa; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Dziban,86614,6636,265.484670,72.148843,Bayer/Flamsteed 31Psi1Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Ebla,114322,,347.294700,-2.260742,HD 218566; Gliese-Jahreiß 4313; Constellation Psc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Edasich,75458,5744,231.232410,58.966065,Bayer/Flamsteed 12Iot Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Electra,17499,1142,56.218905,24.113339,Bayer/Flamsteed 17    Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Elgafar,70755,5409,217.050570,-2.227957,Bayer/Flamsteed 105Phi Vir; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Elkurud,29034,2177,91.881795,-37.252920,Bayer/Flamsteed The Col; Constellation Col; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Elnath,25428,1791,81.572970,28.607450,Bayer/Flamsteed 112Bet Tau; Constellation Tau; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Eltanin,87833,6705,269.151555,51.488895,Bayer/Flamsteed 33Gam Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Emiw,5529,,17.696355,-66.188164,HD 7199; Constellation Tuc; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Enif,107315,8308,326.046495,9.875011,Bayer/Flamsteed 8Eps Peg; Constellation Peg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Errai,116727,8974,354.837300,77.632276,Bayer/Flamsteed 35Gam Cep; Constellation Cep; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
EZ Aqr,,,339.638430,-15.302542,Gliese 866A; Constellation Aqr; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Fafnir,90344,6945,276.496035,65.563480,Bayer/Flamsteed 42    Dra; Constellation Dra; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Fang,78265,5944,239.712975,-26.114105,Bayer/Flamsteed 6Pi  Sco; Constellation Sco; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Fawaris,97165,7528,296.243610,45.130810,Bayer/Flamsteed 18Del Cyg; Constellation Cyg; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Felis,48615,3923,148.717545,-19.009360,HD 85951; Constellation Hya; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Felixvarela,2247,,7.142985,-16.226344,Constellation Cet; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Flegetonte,57370,,176.426220,2.821483,HD 102195; Constellation Vir; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
Fomalhaut,113368,8728,344.412570,-29.622236,Bayer/Flamsteed 24Alp PsA; Constellation PsA; Derived from HYG v4.1 (CC-BY-SA 4.0) WGSN list
